cycle_index,cycle_trend,r_squared,rmse,P_global_center_idx,P_global_le_idx,P_global_ri_idx,P_center_ms,P_le_ms,P_ri_ms,P_center_idx,P_le_idx,P_ri_idx,P_gauss_center,P_gauss_height,P_gauss_stdev_samples,P_gauss_stdev_ms,P_gauss_fwhm_samples,P_gauss_fwhm_ms,P_center_voltage,P_le_voltage,P_ri_voltage,P_duration_ms,P_rise_ms,P_decay_ms,P_rdsm,P_sharpness,P_voltage_integral_uv_ms,Q_global_center_idx,Q_global_le_idx,Q_global_ri_idx,Q_center_ms,Q_le_ms,Q_ri_ms,Q_center_idx,Q_le_idx,Q_ri_idx,Q_gauss_center,Q_gauss_height,Q_gauss_stdev_samples,Q_gauss_stdev_ms,Q_gauss_fwhm_samples,Q_gauss_fwhm_ms,Q_center_voltage,Q_le_voltage,Q_ri_voltage,Q_duration_ms,Q_rise_ms,Q_decay_ms,Q_rdsm,Q_sharpness,Q_voltage_integral_uv_ms,R_global_center_idx,R_global_le_idx,R_global_ri_idx,R_center_ms,R_le_ms,R_ri_ms,R_center_idx,R_le_idx,R_ri_idx,R_gauss_center,R_gauss_height,R_gauss_stdev_samples,R_gauss_stdev_ms,R_gauss_fwhm_samples,R_gauss_fwhm_ms,R_center_voltage,R_le_voltage,R_ri_voltage,R_duration_ms,R_rise_ms,R_decay_ms,R_rdsm,R_sharpness,R_voltage_integral_uv_ms,S_global_center_idx,S_global_le_idx,S_global_ri_idx,S_center_ms,S_le_ms,S_ri_ms,S_center_idx,S_le_idx,S_ri_idx,S_gauss_center,S_gauss_height,S_gauss_stdev_samples,S_gauss_stdev_ms,S_gauss_fwhm_samples,S_gauss_fwhm_ms,S_center_voltage,S_le_voltage,S_ri_voltage,S_duration_ms,S_rise_ms,S_decay_ms,S_rdsm,S_sharpness,S_voltage_integral_uv_ms,T_global_center_idx,T_global_le_idx,T_global_ri_idx,T_center_ms,T_le_ms,T_ri_ms,T_center_idx,T_le_idx,T_ri_idx,T_gauss_center,T_gauss_height,T_gauss_stdev_samples,T_gauss_stdev_ms,T_gauss_fwhm_samples,T_gauss_fwhm_ms,T_center_voltage,T_le_voltage,T_ri_voltage,T_duration_ms,T_rise_ms,T_decay_ms,T_rdsm,T_sharpness,T_voltage_integral_uv_ms,PR_interval_ms,PR_segment_ms,QRS_interval_ms,ST_segment_ms,ST_interval_ms,QT_interval_ms,PP_interval_ms,RR_interval_ms,R_minus_S_voltage_diff_signed,R_minus_P_voltage_diff_signed,T_minus_R_voltage_diff_signed
0,-0.0006638546653544708,0.9853789364074188,0.029986374711645492,195,184.0,202.0,780.0,736.0,808.0,46,35.0,53.0,45.00000000000001,0.16448453428604193,5.0775493788675865,20.310197515470346,11.95671505699184,47.82686022796736,0.15582134687959925,0.05126487494375713,-0.004676949699208691,72.0,40.0,32.0,0.55556,42.40744,6970.5397876419065,216,203.0,224.0,864.0,812.0,896.0,67,54.0,75.0,66.00000000000001,-0.07361312349274965,9.999999999999998,39.99999999999999,23.54820045030949,94.19280180123796,-0.06492204078291727,-0.028877233140987113,0.016960225816004034,84.0,48.0,36.0,0.57143,99.41942,-4571.686952103089,229,225.0,233.0,916.0,900.0,932.0,80,76.0,84.0,80.20632847581254,1.6382686204974921,2.119500916712185,8.47800366684874,4.9910432441353265,19.964172976541306,1.583470039579744,0.18540193522472612,0.07498296682434474,32.0,16.0,16.0,0.5,93.14718,30592.60077108703,235,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,85.22366239091029,-0.2962289669516286,1.569236803026319,6.276947212105276,3.69527027916666,14.78108111666664,-0.24685747245969056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,295,280.0,308.0,1180.0,1120.0,1232.0,146,131.0,159.0,145.00000000000003,0.3601709816677524,7.289706791649821,29.158827166599284,17.16594767537525,68.663790701501,0.38737500296869004,0.12858806539842654,0.007689586488209513,112.0,56.0,56.0,0.5,25.3738,24872.597561744944,76.0,NaN,NaN,NaN,NaN,420.0,NaN,NaN,1.9345,1.47378,-1.2781
1,-0.000672739721685825,0.9818060547419236,0.031974805174353145,700,689.0,707.0,2800.0,2756.0,2828.0,46,35.0,53.0,45.052891741716415,0.17630930172515688,5.387453301796152,21.54981320718461,12.686483026737752,50.74593210695101,0.16762821574956524,0.04905267690623229,0.005275198654510482,72.0,40.0,32.0,0.55556,42.87969,7541.2240973317275,722,708.0,729.0,2888.0,2832.0,2916.0,68,54.0,75.0,65.00000000000003,-0.06806847201661158,10.999999999999998,43.99999999999999,25.90302049534044,103.61208198136175,-0.06822212037216058,-0.015775461292635393,0.006513309639018625,84.0,44.0,40.0,0.52381,66.37223,-4325.708779877896,734,730.0,738.0,2936.0,2920.0,2952.0,80,76.0,84.0,80.24496864743034,1.5693187752409696,1.9999999999999998,7.999999999999999,4.709640090061898,18.83856036024759,1.4802197627004663,0.15587713422239022,0.06481803811168539,32.0,16.0,16.0,0.5,92.61471,28331.312313728435,740,738.0,743.0,2960.0,2952.0,2972.0,86,84.0,89.0,85.65928248793605,-0.3345336235426389,1.4308223510451845,5.723289404180738,3.36932915311951,13.47731661247804,-0.29677458023852527,0.06481803811168539,-0.04042871695154168,20.0,8.0,12.0,0.4,194.99854,-3275.047616257391,799,784.0,812.0,3196.0,3136.0,3248.0,145,130.0,158.0,144.00000000000006,0.3969392645799993,7.068389282094578,28.27355712837831,16.64478476755823,66.57913907023293,0.4245141893482961,0.1345205093736017,-0.004538277862051784,112.0,56.0,56.0,0.5,25.61093,26781.249048865553,76.0,NaN,140.0,164.0,276.0,416.0,NaN,NaN,1.90385,1.39301,-1.17238
2,-0.0006433989214589433,0.9879732484140027,0.026419371281627857,864,853.0,872.0,3456.0,3412.0,3488.0,45,34.0,53.0,44.595976353812055,0.16926537040667133,5.590671666549642,22.362686666198567,13.16502570557768,52.66010282231072,0.1612721047915724,0.04243451925885116,-0.008366670105044306,76.0,44.0,32.0,0.57895,41.48427,7302.20062663781,885,873.0,894.0,3540.0,3492.0,3576.0,66,54.0,75.0,66.99999999480939,-0.07216359733500058,12.999999999999975,51.9999999999999,30.61266058540228,122.45064234160913,-0.07547587698846248,-0.035830501591795655,0.07561581678857823,84.0,52.0,32.0,0.61905,149.57611,-4454.982675220822,899,895.0,903.0,3596.0,3580.0,3612.0,80,76.0,84.0,79.88716514239098,1.5549408386442347,2.190463027474404,8.761852109897616,5.158146244995906,20.632584979983623,1.4873598697888633,0.2859984520843326,-0.12286040940818707,32.0,16.0,16.0,0.5,87.99054,28367.92482893882,905,902.0,908.0,3620.0,3608.0,3632.0,86,83.0,89.0,85.28385777231193,-0.4014403482511666,1.8689341704297215,7.475736681718886,4.401003647371197,17.604014589484787,-0.39524253082414074,0.34115492737361397,-0.07028604556556439,24.0,12.0,12.0,0.5,172.82934,-4278.949701347854,964,948.0,976.0,3856.0,3792.0,3904.0,145,129.0,157.0,143.00000000000009,0.3899624810783632,7.3927571385522945,29.571028554209178,17.408612697908588,69.63445079163435,0.4134942361739157,0.1295989380900588,0.009328177427259166,112.0,56.0,56.0,0.5,25.26457,27210.327904580838,80.0,NaN,140.0,160.0,272.0,412.0,656.0,660.0,1.95638,1.38568,-1.16498
3,-0.0005223233988373507,0.9903389159490036,0.023707986975239962,1029,1018.0,1038.0,4116.0,4072.0,4152.0,45,34.0,54.0,44.94741274414515,0.1780828834714261,5.999999999734361,23.999999998937444,14.128920269560163,56.515681078240654,0.15666671189393078,0.049355881690958,-0.006252066710694247,80.0,44.0,36.0,0.55,39.18576,7982.370894788221,1068,1039.0,1059.0,4272.0,4156.0,4236.0,84,55.0,75.0,66.29790209403258,-0.05773087786800047,14.999999999999998,59.99999999999999,35.322300675464234,141.28920270185694,-0.06561165707531935,-0.02773505414576588,0.04744664577239302,80.0,48.0,32.0,0.6,113.68641,-3522.3377149645316,1064,1060.0,1068.0,4256.0,4240.0,4272.0,80,76.0,84.0,79.94075638255724,1.6416353884721693,1.9999999999999998,7.999999999999999,4.709640090061898,18.83856036024759,1.5577083398438596,0.2344099937498197,-0.06561165707531935,32.0,16.0,16.0,0.5,86.7044,29184.907818801967,1070,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,85.42778806985865,-0.3725880828019618,1.408352660599629,5.633410642398516,3.3164170756526756,13.265668302610703,-0.3357690436954285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1128,1112.0,1140.0,4512.0,4448.0,4560.0,144,128.0,156.0,142.0000000000001,0.36319680925751174,7.342098243376237,29.36839297350495,17.289320116088884,69.15728046435554,0.38415680776313255,0.10725470092592387,0.016540020721621,112.0,56.0,56.0,0.5,25.31797,25214.748659781635,84.0,NaN,136.0,156.0,268.0,404.0,660.0,660.0,2.01422,1.46355,-1.27844
4,-0.0004394111662277583,0.9928470020709736,0.0211773724682578,1195,1184.0,1203.0,4780.0,4736.0,4812.0,46,35.0,54.0,45.66120110027705,0.18683841984638497,6.135325426606295,24.54130170642518,14.447587297360565,57.79034918944226,0.1675290607478909,0.05297292070107561,0.01565461345193024,76.0,44.0,32.0,0.57895,39.86288,8265.703638757239,1235,1205.0,1224.0,4940.0,4820.0,4896.0,86,56.0,75.0,69.29790209403257,-0.06307956960981806,16.999999999999996,67.99999999999999,40.03194076552613,160.12776306210452,-0.24837900704592838,-0.029858606779731296,0.04716137628065076,76.0,52.0,24.0,0.68421,152.66484,-3480.1614996692406,1229,1225.0,1233.0,4916.0,4900.0,4932.0,80,76.0,84.0,80.12528241646046,1.6861366052273792,2.2252666917134682,8.901066766853873,5.240102611186581,20.960410444746323,1.6247715317023725,0.23971397389145588,0.0718169840941558,32.0,16.0,16.0,0.5,94.3725,31864.46910572735,1235,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,85.01234059117034,-0.32230355180947967,1.4613823754266593,5.845529501706637,3.4412925111096415,13.765170044438566,-0.24837900704592838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1293,1277.0,1304.0,5172.0,5108.0,5216.0,144,128.0,155.0,141.78242521142883,0.3593451758870452,7.044994050283492,28.179976201133968,16.589693206731344,66.35877282692537,0.3865158506096401,0.094800932710076,0.022160080853616232,108.0,56.0,52.0,0.51852,26.3521,23960.10282025032,84.0,NaN,132.0,156.0,264.0,396.0,664.0,660.0,2.00844,1.4993,-1.32679
5,-0.0005769404738387009,0.9899583435201402,0.02373304743996468,1686,1676.0,1693.0,6744.0,6704.0,6772.0,47,37.0,54.0,46.368575394552465,0.1901823093870981,5.590912439339579,22.363649757358317,13.165592682169724,52.662370728678894,0.15528281392596785,0.053191677155203,0.0047331549968990215,68.0,36.0,32.0,0.52941,45.07352,7163.707238206359,1725,1696.0,1715.0,6900.0,6784.0,6860.0,86,57.0,76.0,72.29790209403255,-0.07297058872841215,19.999999999999996,79.99999999999999,47.09640090061898,188.38560360247592,-0.38092400448973174,-0.04669512200628614,0.14899519412610954,76.0,56.0,20.0,0.73684,202.58077,-4146.144812082359,1719,1715.0,1723.0,6876.0,6860.0,6892.0,80,76.0,84.0,80.13733782692778,1.6019278409088047,1.9999999999999998,7.999999999999999,4.709640090061898,18.83856036024759,1.4887196944635488,0.14899519412610954,-0.05937259122854215,32.0,16.0,16.0,0.5,91.68423,27451.514671259978,1725,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,85.48902227845285,-0.382909963199585,1.4449461837937343,5.779784735174937,3.4025882375884597,13.610352950353839,-0.38092400448973174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1782,1766.0,1794.0,7128.0,7064.0,7176.0,143,127.0,155.0,141.15363918365702,0.3860226672317874,7.16672750909261,28.66691003637044,16.876353595686002,67.50541438274401,0.4145972980312794,0.10130730809105334,0.015994863982375304,112.0,56.0,56.0,0.5,25.55914,26273.10519468032,80.0,12.0,128.0,152.0,264.0,392.0,NaN,NaN,1.98484,1.41175,-1.21591
6,-0.0005046004077145043,0.9919224389031449,0.02179944486833958,1847,1836.0,1854.0,7388.0,7344.0,7416.0,46,35.0,53.0,45.368575394552494,0.17664636124888297,5.507220384032868,22.028881536131472,12.968512952723641,51.874051810894564,0.16213204104749818,0.04369621371247674,0.013067100206798996,72.0,40.0,32.0,0.55556,43.59052,7079.8505748586595,1886,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,75.29786863499862,-0.08639574839691815,18.372347768258926,73.4893910730357,43.263572798975744,173.05429119590298,-0.42076332935348815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1881,1877.0,1884.0,7524.0,7508.0,7536.0,80,76.0,83.0,79.55917591362645,1.6179458637800843,2.20532027954957,8.82128111819828,5.193132399996585,20.77252959998634,1.4929407607507397,0.3575592012392998,0.12270468512877825,28.0,16.0,12.0,0.57143,114.1161,27957.52238585398,1886,1884.0,1889.0,7544.0,7536.0,7556.0,85,83.0,88.0,84.64539558654172,-0.44091474267442965,1.6548887263470764,6.619554905388306,3.8969651450978327,15.58786058039133,-0.42076332935348815,0.12270468512877825,-0.11454347623717658,20.0,8.0,12.0,0.4,184.33008,-5155.628300431109,1944,1928.0,1956.0,7776.0,7712.0,7824.0,143,127.0,155.0,140.86825515065146,0.37150245310674646,7.185787713307329,28.743150853229317,16.921236946633208,67.68494778653283,0.39725918172375874,0.10348309699189295,0.0044910586709523415,112.0,56.0,56.0,0.5,25.42022,25340.90304574178,84.0,12.0,128.0,156.0,268.0,396.0,644.0,648.0,2.05886,1.4413,-1.24644
7,-0.000466865907396654,0.9901986548054863,0.02530052716114576,2012,2001.0,2019.0,8048.0,8004.0,8076.000000000001,47,36.0,54.0,46.16961041182265,0.1915582660852511,5.474417527472194,21.897670109888775,12.89126812856029,51.56507251424116,0.16866607911570117,0.038956621441996624,0.010711771383856504,72.0,40.0,32.0,0.55556,42.00206,7852.784975512193,2051,2022.0,2041.0,8204.0,8087.999999999999,8164.0,86,57.0,76.0,72.29786863499864,-0.06911659871753453,17.259432394529465,69.03772957811786,40.642857368494504,162.57142947397801,-0.2882019106651537,-0.03914483421486796,0.16508666535415872,76.0,56.0,20.0,0.73684,208.51652,-3937.4890202959573,2046,2041.0,2049.0,8183.999999999999,8164.0,8196.0,81,76.0,84.0,80.39140083809221,1.7721897005242833,1.9999999999999998,7.999999999999999,4.709640090061898,18.83856036024759,1.6032680621162756,0.16508666535415872,0.2009435831714913,32.0,16.0,16.0,0.5,91.74699,31437.5853275577,2051,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,85.82964481530368,-0.3527317941395438,1.0393157645563837,4.157263058225535,2.447401595494039,9.789606381976157,-0.2882019106651537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2108,2092.0,2120.0,8432.0,8368.0,8480.0,143,127.0,155.0,141.0382687522017,0.34883203301734755,7.277511970457701,29.110047881830805,17.137231065986477,68.5489242639459,0.37097273267009556,0.09276508061684732,0.007395902583320069,112.0,56.0,56.0,0.5,25.39857,24050.334268554732,84.0,12.0,124.0,156.0,268.0,392.0,660.0,660.0,2.12492,1.58063,-1.42336
8,-0.0004220153791753673,0.9929671158604796,0.020399872717328203,2175,2165.0,2183.0,8700.0,8660.0,8732.0,46,36.0,54.0,46.03389320363719,0.1888102821952407,5.477083774268389,21.908335097073557,12.89754665996097,51.59018663984388,0.17200744332725904,0.052311413476536485,0.016830031960812834,72.0,40.0,32.0,0.55556,41.07724,8036.165802625997,2214,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,74.8853348459152,-0.061616992101265596,18.14217461523098,72.56869846092393,42.721556444397564,170.88622577759025,-0.20957155043418382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2209,2205.0,2213.0,8836.0,8820.0,8852.0,80,76.0,84.0,79.92955757969916,1.6545135784723553,2.1546603002179223,8.61864120087169,5.073837265185567,20.295349060742268,1.5912497877947054,0.24599392574416007,-0.02782910815035576,32.0,16.0,16.0,0.5,87.66605,30034.22287205511,2214,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,84.55991889808425,-0.2821854353116351,1.398759542934707,5.595038171738828,3.2938270098809768,13.175308039523907,-0.20957155043418382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2272,2256.0,2283.0,9088.0,9024.0,9132.0,143,127.0,154.0,140.57048945221118,0.34914855393091293,7.107592531376967,28.430370125507867,16.737101364798747,66.94840545919499,0.3750178305723977,0.09578395383641583,0.019249828085099827,108.0,56.0,52.0,0.51852,26.19498,23417.43163904281,84.0,12.0,124.0,156.0,264.0,388.0,652.0,652.0,1.9367,1.4657,-1.30537
9,-0.0006002013430760072,0.9907271646355826,0.022474156855135666,2505,2494.0,2511.0,10020.0,9976.0,10044.0,48,37.0,54.0,46.393558673942934,0.18250189853440552,5.341892826462025,21.3675713058481,12.57919630615981,50.31678522463924,0.16005708828311951,0.052609953271049656,0.0017608204998408386,68.0,36.0,32.0,0.52941,44.48187,6908.8217552538945,2543,2516.0,2533.0,10172.0,10064.0,10132.0,86,59.0,76.0,73.59285513254594,-0.0712200955962078,19.17999804264324,76.71999217057297,45.16544385447068,180.66177541788272,-0.33242294658043225,-0.053564570635709116,0.04132118405465894,68.0,52.0,16.0,0.76471,203.32956,-4007.9521996250487,2538,2534.0,2541.0,10152.0,10136.0,10164.0,81,77.0,84.0,80.62771576317674,1.5963356927476342,1.9999999999999998,7.999999999999999,4.709640090061898,18.83856036024759,1.4885192067407835,0.26325534455413924,0.1576394703572533,28.0,16.0,12.0,0.57143,111.71317,26846.567625050306,2543,2541.0,2546.0,10172.0,10164.0,10184.0,86,84.0,89.0,85.70524249354582,-0.3384306831643505,1.3483973126096185,5.393589250438474,3.1752330203989927,12.70093208159597,-0.33242294658043225,0.1576394703572533,-0.04949765113852447,20.0,8.0,12.0,0.4,190.41066,-3570.087434605868,2600,2584.0,2612.0,10400.0,10336.0,10448.0,143,127.0,155.0,140.8258075487049,0.3749379354218605,7.202692381787009,28.810769527148036,16.96104439882376,67.84417759529504,0.40586412200811417,0.11407545723153484,0.012690068705417529,112.0,56.0,56.0,0.5,25.4174,25622.430918834594,88.0,20.0,120.0,152.0,264.0,384.0,1320.0,1316.0,1.93477,1.41383,-1.2214
